"","province","year_1980","year_1981","year_1982","year_1983","year_1984","year_1985","year_1986","year_1987","year_1988","year_1989","year_1990","year_1991","year_1992","year_1993","year_1994","year_1995","year_1996","year_1997","year_1998","year_1999","year_2000","year_2001","year_2002","year_2003","year_2004","year_2005","year_2006","year_2007","year_2008","year_2009","year_2010","year_2011","year_2012","year_2013","year_2014","year_2015","year_2016","year_2017"
"1","AL",0.291867233485939,0.338453714577848,0.347967220185465,0.4124363946303,0.438723938388222,0.493784969129231,0.558462209476112,0.585583967699878,0.615243437853226,0.634836143287027,0.6137151017781,0.60721114134045,0.624064059900166,0.605797322993177,0.554290872913519,0.541495880153364,0.400324253000889,0.310040010015748,0.308350362526992,0.443583075751543,0.440780873902056,0.494080008176802,0.510408386048927,0.589252420515504,0.649441064265674,0.693227357396794,0.613929315287856,0.831778151874917,0.831127036022751,0.863049452232108,0.912553075707748,0.931167106228811,0.95309626693273,0.980062006900137,1.26235723729467,1.31198090504545,1.36365805324441,1.3880738158613
"2","BC",0.3269759939985,0.367037388316201,0.44502024291498,0.519574913139048,0.56250323664229,0.596425211665099,0.600106188307034,0.617670769230769,0.638334339977183,0.62755371846603,0.615686057889587,0.608771144219591,0.614186555978324,0.614103362216427,0.610137565848732,0.59656962037481,0.475755697087266,0.435876148191457,0.457410153262075,0.554085652617522,0.587883471674184,0.706110254485342,0.713087315892691,0.817253099134182,1.02771515836275,1.1107927678776,1.09265584228384,1.0580336674294,1.06537556058676,1.09458036791267,1.13584254118879,1.179574867968,1.22318142492014,1.27000937080375,1.25661240172618,1.31198107304231,1.36365808964931,1.388074020763
"3","MB",0.670921065469802,0.734633482778412,0.825536007733204,0.897837992557962,0.937194937665282,0.916918233082707,0.979592655932609,1.23406024096386,1.31209667004889,1.48932983522047,1.46949557358908,1.40291473370015,1.46201502548967,1.47943663225347,1.62052878653676,1.58020308919682,1.52126566220366,1.37304256760919,1.40625096152071,1.58084033701755,1.6894908443722,1.82192560338544,1.77203930932058,1.87957200182932,2.22208030800427,2.32773947011863,2.42877456720672,2.54646381946104,2.77226441463343,2.79069908104395,2.75379241164983,2.72831168831169,2.69491805103977,2.66728522793429,2.62583288576595,2.65516018140393,2.68279543331588,2.74874520224387
"4","NB",0.892289329882082,1.03796939415827,1.15596794963514,1.23050162498234,1.28771160577424,1.42447386955909,1.50382026457514,1.62470167064439,1.70841663166737,1.88031763722485,1.87352083333333,1.96768561753984,1.84119272147696,1.7803998940678,1.88548910891089,1.80598776494666,1.88612901598026,1.92328855758993,1.92464585249572,2.0806916617336,2.22389893524873,2.24214084386801,2.17338277973125,2.2594623733391,2.62672150094547,2.77099744471649,2.92875574527293,2.9947994050432,3.16223845961354,3.32632344114705,3.31558331850144,3.30864029170368,3.30771091631823,3.31106247212779,3.46515500574292,3.52500245317096,3.6225331850655,3.70899245574574
"5","NL",0.982135785007072,1.12275732321497,1.23449428320141,1.40087847222222,1.478133954773,1.65593875765529,1.7344255026401,1.97110191867629,2.03924226441632,2.16361933111539,2.24310490992582,2.14528453840436,2.20749571183533,2.25077555213148,2.37673374613003,2.33838632929858,2.44978539548546,2.48095329991902,2.46217292690344,2.6936568757382,2.66513835248614,2.63970623428888,2.31756761951625,2.20296099707989,2.32633973072887,2.64408064783775,2.32897451861139,1.94669006401163,1.12028605003404,1.19774279670629,1.17990837457884,1.18973932990142,1.23955024895303,1.27737122490379,1.28223903268697,1.31198190411526,1.36365864880562,1.38807440524311
"6","NS",0.872811501597444,0.97771646909169,1.07905013502407,1.15257341845618,1.18911146825852,1.19340872560276,1.2409954660965,1.37740546697039,1.51999433042295,1.59862884160756,1.68635345503416,1.56677323052029,1.65398225300292,1.64189247311828,1.81860584645037,1.88057780488404,1.81675596949552,1.85597631742361,1.76593832614183,1.89074819790458,2.05045035402161,2.03792157426335,1.84612414088198,1.93985899163217,2.25065012045357,2.40218276625242,2.46029256245544,2.57493557298495,2.60836977577483,2.56023146049439,2.55419435260041,2.55192933982274,2.55154551351855,2.789062582799,2.97417235113134,3.10356711131847,3.17876477946857,3.25100711210734
"7","NT",5.21467561521253,6.42759299781182,6.24434,7.26765048543689,7.46967984934087,8.78721490909091,9.76522581227437,10.7137572710952,12.1240930728242,12.9257653913043,13.2637095959596,13.4889222562965,13.8965628394352,14.5611674972845,14.8716082211599,14.44088740329,14.1522570268027,14.2535712493543,14.4803648638623,12.2362555664751,7.76499085471353,13.8677279874214,14.6702962408556,15.3497875354108,16.3725758521783,17.6581178613542,18.3403223240335,20.3978549651757,19.4419995306052,20.9601158812019,22.2515311102357,23.8716101406246,25.5791762452107,26.7431229093738,28.8383784418843,29.2320566665912,28.776853011236,28.8671947157191
"8","NU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1714232174596,21.465275751386,22.6344802995186,23.5720347826087,24.4931039191588,26.359569112581,28.2505563157372,28.581143134571,29.6500080542351,30.7729798784662,32.5190559411454,33.9491154609417,35.6845470419063,38.0003252820824,39.5886382550526,40.4348413011473,41.1922137724879,41.5544166261677,42.0554890619601
"9","ON",0.294968551991318,0.325715263590353,0.369668659148013,0.414577460000906,0.432775541241725,0.456660818973175,0.474746132529545,0.48975358877496,0.509527838746276,0.540909422707934,0.552261282417807,0.558935162720656,0.579192987076506,0.583507478583005,0.579973647368854,0.559737823802841,0.431883321883777,0.345806235341315,0.334961206169275,0.409610365463746,0.440205143452016,0.549639454290625,0.57132163477597,0.656524901531807,0.777074128580109,0.889478032629492,0.904759144646955,0.984674938147677,1.03409891165791,1.10696743071626,1.18488380177431,1.31597109667492,1.43861092824226,1.47805699846193,1.40326066896242,1.48343338297421,1.5286845505524,1.48871824049175
"10","PE",1.10222312703583,1.27088469136206,1.4138630806846,1.49165728077233,1.52370929308975,1.5965873015873,1.6460054008812,1.84681853888452,1.96488715953307,2.09217090069284,2.13833075734158,2.07295436153482,1.95367781155015,1.99811419984974,2.08885501858736,2.07477036401556,2.05681174766348,2.19251876893357,2.18548705717087,2.36572440727674,2.51851878993961,2.50595207609292,2.36454668865955,2.42290184196535,2.87085396024787,2.97336208128668,3.0990084470115,3.14677634237123,3.36754332655284,3.51103575082455,3.46636847349119,3.43770818990396,3.52095531693322,3.58526177920243,3.72905177380854,3.77559850408102,3.92367790080552,3.98144849314704
"11","QC",0.698356430372215,0.809047367802233,0.916918114756628,1.01020030414279,1.05495668383016,1.0419302446962,1.08942038531707,1.1144471073628,1.16387182267197,1.17845376369771,1.23229056954463,1.20242980608104,1.25634687482514,1.30620275911642,1.30565257958288,1.33272779730346,1.19392136530087,1.18390243848991,1.12765473664545,1.26031987689821,1.29977807652818,1.27107496326179,1.18511555417798,1.23709975918882,1.4064440968105,1.60225840441871,1.71002601490893,1.9389502006716,2.07530255777352,2.13567748622663,2.18714718357255,2.16900653436093,2.15512105698719,2.20548987830001,2.39001287499363,2.46564105372799,2.56965859173193,2.71017934449753
"12","SK",0.35074629977069,0.378238234950889,0.446227147380247,0.504712157809984,0.541913794815771,0.58670963903213,0.832496203714519,0.842051584957669,1.01153231376418,1.20787920929771,1.10608537693006,1.04288490117698,1.08720475954388,1.10824891175307,1.03122517537793,0.884644828120972,0.710550434408872,0.612269169966278,0.888083026008606,0.870314153229542,0.731172061419988,0.838954260647245,0.740805384737229,0.751115353385104,1.62616902483841,1.109671047219,1.08818820984244,1.3527197309094,1.09107111508734,1.14808379402105,1.12509487851265,1.13744524916794,1.18542767761511,1.23429853624586,1.25961674110292,1.3119806342153,1.36365796654872,1.38807351557398
"13","YT",2.56968609865471,2.98879310344828,3.25291497975708,4.69483193277311,4.84095435684647,6.60572723577236,6.96148427419355,7.03526615384615,7.2847092936803,7.60230802919708,8.23566428571429,8.30956636591307,9.11467591067782,10.3108546867795,10.1895287360073,10.1721312859137,9.64642231500958,10.1115427791733,10.3933625075042,10.9693538438255,11.7012952856861,12.6483827000432,12.9848014273442,14.8874060637471,15.6930834667683,16.7205029509893,17.0766430495529,17.7657255279197,18.0964898563827,19.305099272385,20.0119077132592,21.0536251768835,22.5187340105761,23.819941330974,24.4452394738275,24.7227179741275,25.2579411261887,25.8836949513787
